referencia,categoria,producto,costo_cop,precio_venta_sugerido_cop
CA-MOCH-001,Mochila,Diseño pequeña,35000,47250
CA-MOCH-002,Mochila,Diseño mediana,55000,74250
CA-MOCH-003,Mochila,Diseño grande,85000,114750
CA-MOCH-004,Mochila,Unicolor pequeña w,45000,60750
CA-MOCH-005,Mochila,Unicolor mediana w,65000,87750
CA-MOCH-006,Mochila,San Jacinto pequeña,39000,52650
CA-MOCH-007,Mochila,San Jacinto mediana,49000,66150
CA-MOCH-008,Mochila,San Jacinto Diseño,75000,101250
CA-MOCH-009,Mochila,mochila tapete,95000,128250
CA-MOCH-010,Mochila,mochila mono peque,55000,74250
CA-MOCH-011,Mochila,mochila mono grande,120000,162000
CA-MOCH-012,Mochila,Rapunzel pequeña,75000,101250
CA-MOCH-013,Mochila,Rapunzel mediana,95000,128250
CA-MOCH-014,Mochila,Rapunzel grande,125000,168750
CA-MOCH-015,Mochila,moch Hilo de seda,135000,182250
CA-MOCH-016,Mochila,Cola de ratón,85000,114750
CA-MOCH-017,Mochila,Tapa mini,75000,101250
CA-MOCH-018,Mochila,Tapa mediana,95000,128250
CA-MOCH-019,Mochila,tapa grande,115000,155250
CA-MOCH-020,Mochila,tapa mini decorada,115000,155250
CA-MOCH-021,Mochila,tapa grande decorada,150000,202500
CA-MOCH-022,Mochila,Decorada pequeña,120000,162000
CA-MOCH-023,Mochila,Decorada mediana,220000,297000
CA-MOCH-024,Mochila,Piedra pequeña,120000,162000
CA-MOCH-025,Mochila,Piedra mediana,155000,209250
CA-MOCH-026,Mochila,piedra grande,190000,256500
CA-MOCH-027,Mochila,Imagen mediana,140000,189000
CA-MOCH-028,Mochila,Imagen grande,180000,243000
CA-MOCH-029,Mochila,Contemporánea mini,80000,108000
CA-MOCH-030,Mochila,Contemporánea mediana,85000,114750
CA-MOCH-031,Mochila,Kanhama mostacilla,280000,378000
CA-MOCH-032,Mochila,Kankuama 110k,110000,148500
CA-MOCH-033,Mochila,Kankuama Cuero,160000,216000
CA-MOCH-034,Mochila,Tela Economica,85000,114750
CA-MOCH-035,Mochila,tela Fina,135000,182250
CA-MOCH-036,Mochila,mochila promoción,25000,33750
CA-MOCH-037,Mochila,moch Canasto mini,95000,128250
CA-MOCH-038,Mochila,moch canasto mediano,110000,148500
CA-MOCH-039,Mochila,moch canasto boca grande,135000,182250
CA-MOCH-040,Mochila,Araka 220 k,220000,297000
CA-MOCH-041,Mochila,Araka 240 k,240000,324000
CA-MOCH-042,Mochila,Araka 260 k,260000,351000
CA-MOCH-043,Mochila,Araka 280 k,280000,378000
CA-MOCH-044,Mochila,Araka 320 k,320000,432000
CA-MOCH-045,Mochila,Araka 340 k,340000,459000
CA-MOCH-046,Mochila,Sobre wayuu,48000,64800
CA-MOCH-047,Mochila,empanada wayuu,38000,51300
CA-BOLS-001,Bolsos,Canasto wayuu peque,65000,87750
CA-BOLS-002,Bolsos,canasto wayuu mediano,95000,128250
CA-BOLS-003,Bolsos,canasto wayuu grande,120000,162000
CA-BOLS-004,Bolsos,Bolso Nailon,65000,87750
CA-BOLS-005,Bolsos,porta celular wayuu,18000,24300
CA-BOLS-006,Bolsos,porta celular cierre wayuu,25000,33750
CA-BOLS-007,Bolsos,Canasto wayuu boca g,140000,189000
CA-BOLS-008,Bolsos,Bolso C.f grande,120000,162000
CA-BOLS-009,Bolsos,Bolso C.f mediano,85000,114750
CA-BOLS-010,Bolsos,Carriel C.f,35000,47250
CA-BOLS-011,Bolsos,porta celular C.f,35000,47250
CA-BOLS-012,Bolsos,Carriel C. Fino,65000,87750
CA-BOLS-013,Bolsos,yoyo mediano,75000,101250
CA-BOLS-014,Bolsos,yoyo pequeño,65000,87750
CA-MONE-001,Monedero,monedero C.f,12000,16200
CA-MONE-002,Monedero,monedero wayuu,12000,16200
CA-MONE-003,Monedero,monedero totumo,7000,9450
CA-MONE-004,Monedero,monedero Sincelejo,8000,10800
CA-MONE-005,Monedero,monedero Cuero 8k,8000,10800
CA-MONE-006,Monedero,monedero cuero 12 k,12000,16200
CA-MONE-007,Monedero,monedero wayuu 15 k,6000,8100
CA-MONE-008,Monedero,monedero cuero 18 k,18000,24300
CA-MONE-009,Monedero,monedero cuero 22 k,22000,29700
CA-MONE-010,Monedero,monedero color mini,5000,6750
CA-MONE-011,Monedero,monedero color mediano,8000,10800
CA-MONE-012,Monedero,monedero color grande,10000,13500
CA-MONE-013,Monedero,monedero iraka,12000,16200
CA-BILL-001,Billetera,Billetera C.f Economica,25000,33750
CA-BILL-002,Billetera,Billetera C.f 35 k,35000,47250
CA-BILL-003,Billetera,Billetera C.f Hombre 45k,45000,60750
CA-BILL-004,Billetera,Billetera C.f Fina pequeña,65000,87750
CA-BILL-005,Billetera,Billetera C.f Fina Hombre,65000,87750
CA-BILL-006,Billetera,Billetera C.f Fina grande,95000,128250
CA-ARET-001,Arete,arete C.f Economico,8000,10800
CA-ARET-002,Arete,arete C.f Fino,35000,47250
CA-ARET-003,Arete,arete mostacilla Fino,28000,37800
CA-ARET-004,Arete,arete totumo,6000,8100
CA-ARET-005,Arete,arete Hilo,8000,10800
CA-ARET-006,Arete,arete Dibujo,12000,16200
CA-ARET-007,Arete,arete mostacilla comun,13000,17550
CA-ARET-008,Arete,arete Lata,10000,13500
CA-ARET-009,Arete,Set economico,5000,6750
